gaia_source_id,hyg_id,constellation
6.68077820251565e+18,117944,Scl
4.464102700096931e+18,117861,Peg
5.408456671503862e+18,117887,Phe
5.408463547755114e+18,117887,Phe
5.408440939047318e+18,117887,Phe
5.800600177936323e+18,117954,Tuc
6.680787578428455e+18,117944,Scl
6.680677047445752e+18,117923,Phe
5.781832064180397e+18,117877,Tuc
4.464005358957958e+18,117950,Peg
5.408434887429745e+18,117887,Phe
1.8722894639740613e+18,117929,And
5.781879033943362e+18,117877,Tuc
5.408448498189854e+18,117887,Phe
6.725828458120354e+18,117944,Scl
5.781872917909807e+18,117877,Tuc
4.650807024406649e+18,117822,Tuc
6.680778614832509e+18,117944,Scl
4.464225364363419e+18,117950,Peg
2.065086560158345e+18,117901,And
4.464116409632546e+18,117861,Peg
2.0216759856955018e+18,117899,Peg
4.150365917626845e+18,117879,Cet
2.0472228634764357e+18,117948,And
5.781873055348761e+18,117877,Tuc
4.464182449049827e+18,117861,Peg
4.464220966316888e+18,117950,Peg
5.781828559487078e+18,117877,Tuc
4.464212307662816e+18,117950,Peg
5.836215730461314e+18,117881,Phe
6.680583966914706e+18,117923,Phe
1.87232911511306e+18,117929,And
5.408435063530972e+18,117887,Phe
5.800588117667457e+18,117954,Tuc
2.0650788635773376e+18,117901,And
5.800594920896257e+18,117954,Tuc
6.003865415074134e+18,119613,Phe
5.781834263203687e+18,117877,Tuc
4.464016628952145e+18,117861,Peg
5.781816396139575e+18,117877,Tuc
4.464166815368754e+18,117861,Peg
6.725814095749542e+18,117944,Scl
2.0472314190517763e+18,117948,And
5.781817770529108e+18,117877,Tuc
5.800579630811774e+18,117954,Tuc
5.80058701815597e+18,117954,Tuc
1.8723087698373806e+18,117929,And
1.8723099080190405e+18,117929,And
6.680798642264207e+18,117944,Scl
5.408451521846829e+18,117887,Phe
5.408469079672753e+18,117887,Phe
2.0472290825894129e+18,117948,And
2.0651047364601329e+18,117901,And
6.72582351031826e+18,117944,Scl
5.781832854454382e+18,117877,Tuc
5.408421766312311e+18,117887,Phe
4.464092250439169e+18,117861,Peg
